0,          1,          2,          3,          4,          5,          6,          7,         8,          9
24.9430,   24.9310,    24.8930,    24.8310,    24.7450,    24.6340,    24.5000,    24.3430,   24.1630,    23.9610
23.7390,   23.4970,    23.2360,    22.9560,    22.6600,    22.3480,    22.0210,    21.6800,   21.3270,    20.9630
20.5880,   20.2050,    19.8140,    19.4160,    19.0120,    18.6040,    18.1920,    17.7780,   17.3630,    16.9470
16.5310,   16.1170,    15.7040,    15.2940,    14.8870,    14.4840,    14.0860,    13.6930,   13.3050,    12.9230
12.5480,   12.1790,    11.8170,    11.4620,    11.1150,    10.7750,    10.4440,    10.1190,    9.8030,     9.4950
9.1950,     8.9030,     8.6190,     8.3420,     8.0740,     7.8140,     7.5610,     7.3160,    7.0780,     6.8480
6.6250,     6.4090,     6.2000,     5.9980,     5.8030,     5.6140,     5.4310,     5.2550,    5.0840,     4.9195
4.7606,     4.6071,     4.4590,     4.3160,     4.1781,     4.0450,     3.9166,     3.7927,    3.6732,     3.5580
3.4468,     3.3396,     3.2362,     3.1365,     3.0403,     2.9476,     2.8581,     2.7718,    2.6886,     2.6083
2.5309,     2.4562,     2.3841,     2.3146,     2.2475,     2.1828,     2.1203,     2.0599,    2.0017,     1.9455
1.8912,     1.8388,     1.7882,     1.7393,     1.6920,     1.6464,     1.6022,     1.5596,    1.5184,     1.4785
1.4400,     1.4027,     1.3667,     1.3318,     1.2980,     1.2654,     1.2337,     1.2031,    1.1735,     1.1448
1.1170,     1.0900,     1.0639,     1.0386,     1.0141,     0.9903,     0.9672,     0.9449,    0.9232,     0.9021
0.8817,     0.8618,     0.8426,     0.8239,     0.8058,     0.7881,     0.7710,     0.7544,    0.7382,     0.7225
0.7072,     0.6923,     0.6779,     0.6638,     0.6502,     0.6368,     0.6239,     0.6113,    0.5990,     0.5871
0.5755,     0.5641,     0.5531,     0.5424,     0.5319,     0.5210,     0.5117,     0.5020,    0.4926,     0.4834
